1.5 1.7 49,50,56,50,50,50,50,49,49,49
1.5 1.8 49,51,50,50,50,50,50,50,51,48
1.5 1.9 49,51,50,50,47,50,50,50,51,50
1.5 2.0 50,49,50,50,50,50,50,50,50,51
1.6 0.8 50,50,50,50,50,50,50,50,50,50
1.6 0.9 50,50,50,50,50,50,50,50,50,50
1.6 1.0 50,50,50,50,50,50,50,50,50,50
1.6 1.1 50,50,50,50,50,50,50,50,50,50
1.6 1.2 50,50,50,50,50,50,50,50,50,50
1.6 1.3 50,50,50,50,50,50,50,50,49,50
1.6 1.4 50,52,50,50,50,50,55,47,49,52
1.6 1.5 50,52,48,48,63,52,57,49,46,57
1.6 1.6 1,1,1,1,1,1,1,1,1,1
1.6 1.7 50,48,50,65,49,96,50,60,45,53
1.6 1.8 49,46,50,51,53,51,50,45,47,67
1.6 1.9 49,51,48,53,51,47,47,49,49,50
1.6 2.0 50,49,50,50,49,49,50,52,50,50
1.7 0.8 50,50,50,50,50,50,50,50,50,50
1.7 0.9 50,50,50,50,50,50,50,50,50,50
1.7 1.0 50,50,50,50,50,50,50,50,50,50
1.7 1.1 50,50,50,50,50,50,50,50,50,50
1.7 1.2 50,50,50,50,50,50,50,50,50,50
1.7 1.3 50,50,50,50,50,50,50,49,50,50
1.7 1.4 50,50,50,50,49,50,50,50,50,54
1.7 1.5 53,50,53,50,48,52,51,50,50,50
1.7 1.6 83,49,66,56,58,41,51,39,53,81
1.7 1.7 1,1,1,1,1,1,1,1,1,1
1.7 1.8 6,61,45,45,60,53,50,58,77,40
1.7 1.9 49,50,47,55,49,41,50,35,34,59
1.7 2.0 45,50,48,50,46,46,46,40,50,48
1.8 0.8 50,50,50,50,50,50,50,50,50,50
1.8 0.9 50,50,50,50,50,50,50,50,50,50
1.8 1.0 50,50,50,50,50,50,50,50,50,50
1.8 1.1 50,50,50,50,50,50,50,50,50,50
1.8 1.2 50,50,50,50,50,50,50,50,50,50
1.8 1.3 50,50,50,50,50,50,50,50,50,50
1.8 1.4 50,50,50,50,50,51,50,51,50,50
1.8 1.5 50,50,50,48,50,50,50,50,50,50
1.8 1.6 55,51,48,50,45,49,51,59,50,51
1.8 1.7 48,52,69,32,2,58,51,61,51,67
1.8 1.8 1,1,1,1,1,1,1,1,1,1
1.8 1.9 46,48,11,46,69,42,50,48,91,58
1.8 2.0 49,42,47,39,40,50,48,46,58,51
1.9 0.8 50,50,50,50,50,50,50,50,50,50
1.9 0.9 50,50,50,50,50,50,50,50,50,50
1.9 1.0 50,50,50,50,50,50,50,50,50,50
1.9 1.1 50,50,50,50,50,50,50,50,50,50
1.9 1.2 50,50,50,50,50,50,50,50,50,50
1.9 1.3 50,51,50,50,50,50,50,50,50,50
1.9 1.4 50,51,50,50,50,50,50,50,50,50
1.9 1.5 50,50,51,53,50,50,51,55,50,50
1.9 1.6 51,54,49,51,51,50,54,50,46,55
1.9 1.7 61,50,94,41,53,45,92,40,73,59
1.9 1.8 15,72,10,57,88,43,19,55,39,27
1.9 1.9 1,1,1,1,1,1,1,1,1,1
1.9 2.0 53,45,25,42,33,51,14,94,92,49
